Model,Best_Params,Train_R2,Test_R2,Test_MAE,Test_RMSE,Overfit_Gap,Overfit_Percentage
SVR,"{'C': 50, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.9086903758741234,0.7983768200038656,0.3429558340043323,0.4599468100363116,0.11031355587025782,12.139839795721468
XGBoost,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 400, 'subsample': 0.8}",0.993831124501236,0.7868664679604238,0.3497752509026064,0.47289342109009647,0.2069646565408122,20.824932067274453
GradientBoosting,"{'learning_rate': 0.05, 'max_depth': 6, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 0.8}",0.9923398114309888,0.7689925245542467,0.359210845304253,0.49232330920003176,0.2233472868767421,22.507137605883965
LightGBM,"{'learning_rate': 0.05, 'max_depth': 9, 'min_child_samples': 30, 'n_estimators': 400, 'num_leaves': 50, 'subsample': 0.8}",0.9769511600902924,0.7525384632647661,0.37164350120439016,0.5095551952474973,0.22441269682552623,22.970718086335598
RandomForest,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.9040052237757571,0.6700653255695153,0.42657832346291447,0.588371138597817,0.23393989820624184,25.878157786427984
Lasso,{'alpha': 0.01},0.3819376626471319,0.43895610125622264,0.5983050998491317,0.7672480671070517,-0.05701843860909073,-14.928729000933707
Ridge,{'alpha': 100},0.37520880127231515,0.43117458465388203,0.5981791198453218,0.7725504990090538,-0.05596578338156688,-14.915903675977106
ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.2}",0.3701231971257406,0.42438226536636925,0.6024827980917493,0.7771493069875572,-0.05425906824062865,-14.65973185738894
DecisionTree,"{'max_depth': 10, 'min_samples_leaf': 12, 'min_samples_split': 5}",0.6758427926899626,0.38176564239945343,0.5770649563510047,0.8054043102352579,0.2940771502905092,43.512656119337315
