Model,Best_Params,Train_R2,Test_R2,Test_MAE,Test_RMSE,Overfit_Gap,Overfit_Percentage
GradientBoosting,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 400, 'subsample': 0.9}",0.9999570596167547,0.8837035344125399,0.28715247367298974,0.41920651438557666,0.11625352520421484,11.625851738950708
SVR,"{'C': 10, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",0.937347149636656,0.8399292357683215,0.3480859715319427,0.4918138718112696,0.09741791386833454,10.392938614695383
XGBoost,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 400, 'subsample': 0.8}",0.9999315811250965,0.8364701006729689,0.32040530896797603,0.49709952655964346,0.1634614804521276,16.347266506794902
LightGBM,"{'learning_rate': 0.15, 'max_depth': 5, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 50, 'subsample': 0.8}",0.9743669320217107,0.8141838596908031,0.38124029091390466,0.5298909255783174,0.16018307233090756,16.43970736963992
RandomForest,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.8763112873431581,0.5903998240293828,0.46057669682776986,0.7867284074401076,0.28591146331377526,32.62670097296306
DecisionTree,"{'max_depth': 10, 'min_samples_leaf': 12, 'min_samples_split': 5}",0.5893806953433791,0.4596369431290992,0.6021052812119023,0.9036236517093569,0.12974375221427992,22.01357344062481
ElasticNet,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.4717619458239175,0.3370550097809003,0.6638662288390245,1.0008834575379968,0.1347069360430172,28.554006366019145
Ridge,{'alpha': 100},0.46470818013315973,0.33147305884019596,0.6605946618748201,1.0050883096752659,0.13323512129296378,28.67070712092607
Lasso,{'alpha': 0.1},0.4467068033464545,0.300442850572086,0.6725870068401697,1.0281497269754514,0.14626395277436854,32.74271886585303
