PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Hardness_kg_mm2
0.5669061460900817,-2.7736963952258455,-3.2596178787491406,-4.03810530452992,2.3699063480732554,1.2490181219890835,0.20654673308179153,-0.547618188170123,0.524168109969369
0.7298412152841762,-2.890541364875246,-3.248529369081636,-3.806666227496119,2.107063041709996,1.0284304540776519,0.23483886819959637,-0.6151096082740478,0.025545455867949
0.8474160203454209,-3.1459698598032606,-3.5066050777704296,-4.137610018028724,2.1354571055195826,1.123192063761912,0.4888799940670666,-0.6021564567663781,-0.0243168095421929
0.9052560028605436,-3.237269672568759,-3.5689062350110334,-4.210270509653823,2.061484399586298,1.1351416880866603,0.5195004093399541,-0.5069306481805321,0.008924700731235
0.6843454288414446,-2.7690205609495075,-2.561766820702321,-3.453282322521953,1.9132637526750764,0.6180640096870508,0.09480325166123818,-0.5747584557596512,0.141890741824947
0.790900918830028,-2.9188973391142325,-2.7411817070775757,-3.4994629330418974,1.7909395605447838,0.5742996815162971,0.25177013281558963,-0.5582092005446952,-0.1406620954991909
0.9348116503460449,-3.0720168788791664,-2.7266831276973447,-3.388865871344902,1.451673430630725,0.46041584471510394,0.4593829995313305,-0.4800598719347359,-0.2071451160460469
1.034722774329312,-3.2983976282278973,-2.8856159111407353,-3.7418596014636476,1.684180119483058,0.4390142122767392,0.5032630429769777,-0.40696073771021274,-0.2736281365929029
0.4004329408303601,-2.413929709680877,-2.894385641520437,-3.4263482477553793,2.153851846822284,0.733264437182163,-0.4229258127660229,-0.06175891726956022,0.557409620242797
0.5493086174132055,-2.573818571301949,-3.0159853166247155,-3.402036818884911,1.9607405682812256,0.6365465383336506,-0.42871375640286474,0.09272911881932573,0.224994517508517
0.6602135652668665,-2.831375411889407,-3.2478438722053724,-3.7413281409430432,1.9772583771905838,0.7657325933578032,-0.22938829844029296,0.1449293775419469,-0.0409375646789069
0.7375158281916548,-2.8918294543938523,-3.2510725846378046,-3.658475810244936,1.8215181280720403,0.6547257913915455,-0.20523495751344614,0.23182684015335736,0.075407721278091
0.38538901652348057,-2.206542451277531,-2.092817721398386,-2.5807324878189126,1.610175840936083,-0.3337120470061093,-1.0224389909151046,0.5294911122521375,0.441064334285799
0.5222808317043355,-2.4061463554122033,-2.191300421536597,-2.647216802777045,1.4317987464511674,-0.40692266327422144,-0.8264958290793081,0.5642573197448328,0.258236027781945
0.6286300835607342,-2.583335642384932,-2.4936515701766555,-2.8634864719221644,1.39138013289172,-0.22920945794837572,-0.703022112982771,0.6829184063928138,0.092028476414805
0.7183179376748717,-2.671612829225074,-2.461039438926958,-2.807819637325776,1.246818094396986,-0.3287024264249127,-0.7435090626725306,0.8010625695041416,0.058786966141377
3.8672856250524004,-2.0555047080670867,0.2003898674215652,3.3962855593437666,1.3484269950339842,0.6932795148690827,0.0016566549680629618,1.0493733235604994,-0.755630035557609
