Model,R²,Adj. R²,RMSE,MAE,Best
Random Forest (Supervised),0.03154132320029834,2.3102676215525375,27.23672789504223,22.712142857142858,
XGBoost (Supervised),0.6809573487720381,1.4316459398966543,15.632871484171384,12.514810494014196,✓
Random Forest (Semi-Supervised),-0.05862715689461062,2.4322602710927086,28.47645346916065,23.54584917141916,
XGBoost (Semi-Supervised),0.6621293695556421,1.457119088248249,16.087538746507438,13.263429471424647,
