Target,Unit,Original_Mean,Original_Std,Predicted_Mean,Predicted_Std,Complete_Mean,Complete_Std,Original_Count,Predicted_Count
FATT 50%,°C,-31.096774193548388,43.64428548978639,-21.887929916381836,21.353622436523438,-22.060737209854597,21.99068257760332,31,1621
Primary Ferrite,%,19.1734693877551,10.982671928297787,16.564826254826254,8.224548984124215,16.71957627118644,8.431764822932509,98,1554
Ferrite 2nd Phase,%,25.955555555555556,21.28348577047056,38.94893264770508,21.682859420776367,38.24105919345528,21.85494048763857,90,1562
Acicular Ferrite,%,52.833333333333336,23.48379790504389,42.72826107336067,17.354349895145845,43.278779537887026,17.88149500096705,90,1562
Martensite,%,0.33707865168539325,3.1799936400190796,6.454510556621879,7.614979328903395,6.124939467312347,7.5703129456090466,89,1563
Ferrite Carbide,%,0.43820224719101125,1.3976852306888707,1.2470981887239085,1.2169989496779372,1.203519654343504,1.2404605512338858,89,1563
