Target,Target_Column,Best_Model,R²,Adj_R²,RMSE,MAE,Unit
FATT 50%,FATT_50%,XGBoost (Supervised),0.6809573487720381,1.4316459398966543,15.632871484171384,12.514810494014196,°C
Primary Ferrite,Primary_Ferrite_%,Random Forest (Supervised),0.6108390229298581,0.19012445312429938,6.226647191149949,4.585125,%
Ferrite 2nd Phase,Ferrite_2nd_Phase_%,XGBoost (Supervised),0.3736912171638467,-0.4344491477860284,16.701767566247227,10.19982573721144,%
Acicular Ferrite,Acicular_Ferrite_%,Random Forest (Supervised),0.17006154508807747,-0.9008267838305322,22.604148099519684,15.300890899061951,%
Martensite,Martensite_%,Random Forest (Supervised),1.0,1.0,0.0,0.0,%
Ferrite Carbide,Ferrite_Carbide_%,Random Forest (Supervised),0.05807022717219079,-1.1978361365982213,1.382036273607716,0.7975963003046336,%
