Model,R²,Adj. R²,RMSE,MAE,Best
Random Forest (Supervised),0.05807022717219079,-1.1978361365982213,1.382036273607716,0.7975963003046336,✓
XGBoost (Supervised),-0.1010179895283767,-1.5690419755662126,1.494195372800762,0.908276895682017,
Random Forest (Semi-Supervised),-0.02429635520656137,-1.3900248288153096,1.4411958183906302,0.6867947223883017,
XGBoost (Semi-Supervised),-0.060554545716685615,-1.4746272733389332,1.4664818239328783,0.9992600083351135,
