Model,R²,Adj. R²,RMSE,MAE,Best
Random Forest (Supervised),0.17006154508807747,-0.9008267838305322,22.604148099519684,15.300890899061951,✓
XGBoost (Supervised),-0.22094908121944434,-1.7963672505348565,27.416624016727006,19.138820966084797,
Random Forest (Semi-Supervised),-0.6197546777752552,-2.7097607136142945,31.578378181657836,20.898689736298792,
XGBoost (Semi-Supervised),0.1282722445395834,-0.9965377625061154,23.166244577418745,15.518196635776096,
