Model,R²,Adj. R²,RMSE,MAE,Best
Random Forest (Supervised),0.35034138806564485,-0.48792778862384556,17.010253443360792,10.33673907111407,
XGBoost (Supervised),0.3736912171638467,-0.4344491477860284,16.701767566247227,10.19982573721144,✓
Random Forest (Semi-Supervised),0.3063999135830243,-0.5885679398582346,17.57610966856678,10.286425189159164,
XGBoost (Semi-Supervised),0.255198044884823,-0.7058367359089537,18.213297791985788,12.111478964487711,
