Model,R²,Adj. R²,RMSE,MAE,Best
Random Forest (Supervised),0.6108390229298581,0.19012445312429938,6.226647191149949,4.585125,✓
XGBoost (Supervised),0.4426832948427162,-0.1598212512732664,7.451447513272659,5.206319451332092,
Random Forest (Semi-Supervised),0.31282846082607396,-0.4300596896322244,8.274127296521991,5.679013704723999,
XGBoost (Semi-Supervised),0.4386305875145261,-0.16825526382112121,7.4784912343598124,5.0288263142108915,
